Polish sentence	English meaning	Frequency
Jest najstarszym synem.	He's the oldest son.	[ 1 2114 2181 ]
Tej zimy mieliśmy mało śniegu.	We have had little snow this winter.	[ 82 1313 1690 263 3835 ]
Czy umiesz odjąć sześć od dziesięciu?	Can you subtract six from ten?	[ 67 285 3797 850 29 3593 ]
W piątki jestem najmniej zajęty.	Friday is when I am least busy.	[ 3 3368 30 3369 416 ]
Czy śniadanie gotowe?	Is breakfast ready?	[ 67 424 3831 ]
Nie wytrzymam dłużej tego hałasu.	I can't stand this noise any longer.	[ 5 3690 571 19 2919 ]
Pociąg odjeżdża co trzydzieści minut.	The train runs every thirty minutes.	[ 3645 399 22 1736 1403 ]
Ann ma wielu przyjaciół.	Ann has many friends.	[ 1671 12 221 3863 ]
Ann ma wielu przyjaciół.	Ann has lots of friends.	[ 1671 12 221 3863 ]
Kot pije mleko.	The cat drinks milk.	[ 574 588 3164 ]
To jabłko ma słodki smak.	The apple tastes sweet.	[ 6 319 12 3610 3272 ]
Mam kilku przyjaciół.	I've got a few friends.	[ 43 437 3863 ]
Noc jest młoda.	The night is young.	[ 2791 1 1560 ]
Jestem zajęty pracą.	I'm busy with work.	[ 30 416 3907 ]
Nasza szkoła jest blisko parku.	Our school is near a park.	[ 1108 1822 1 521 3820 ]
Która drużyna wygra?	Which team will win?	[ 1155 586 2628 ]
Nie jedz przez co najmniej trzy godziny.	Don't eat for at least three hours.	[ 5 2870 48 22 3369 100 3792 ]
Nie zjadłem kolacji.	I missed supper.	[ 5 479 3894 ]
Gdzie znajdę autobus na lotnisko?	Where do I get an airport bus?	[ 84 3364 1590 4 2255 ]
Kwiaty kwitną.	Flowers bloom.	[ 468 2455 ]
Pozwól, że zobaczę.	Let me have a look.	[ 1464 10 2912 ]
To bardzo prosta sprawa.	It's a piece of cake.	[ 6 15 2280 3552 ]
Lubisz japońskią kuchnię?	Do you like Japanese dishes?	[ 246 1987 2158 ]
Potrzebujemy twojej pomocy.	We need your help.	[ 3436 236 719 ]
Poszli każdy swoją drogą.	They went their separate ways.	[ 1728 379 70 3680 ]
Jestem zmęczona.	I'm tired.	[ 30 2901 ]
Irytuje nas ten ciągły hałas.	We are annoyed at that constant noise.	[ 2330 86 23 3514 1397 ]
Jeden, by wszystkimi rządzić.	One Ring to rule them all.	[ 948 121 3019 1799 ]
Pani Thomas uczy nas historii.	Miss Thomas teaches us history.	[ 305 3532 134 86 3305 ]
Niedługo wrócę.	I will be back soon.	[ 796 2150 ]
Niedługo wrócę.	I'll be back soon.	[ 796 2150 ]
On nie da rady.	He can't make this.	[ 65 5 3045 2779 ]
Kąpię się codziennie.	I take a bath every day.	[ 3977 2 444 ]
Moje hobby to słuchanie muzyki.	My hobby is listening to music.	[ 64 378 6 3909 3026 ]
Mój tata spaceruje po parku.	My father is taking a walk in the park.	[ 41 1778 1734 16 3820 ]
Ptaki znoszą jajka.	Birds lay eggs.	[ 897 1979 1564 ]
Uważaj gdzie idziesz!	Watch where you're going!	[ 3271 84 1095 ]
Nie powinieneś zostawiać dziecka samego.	You should not leave the baby alone.	[ 5 158 1634 1730 3890 ]
Błąd został zrobiony.	An error was made.	[ 1073 144 3243 ]
Pociąg zaraz odjeżdża.	The train will depart soon.	[ 3645 423 399 ]
Jestem ci winna lunch.	I owe you a lunch.	[ 30 18 3287 2621 ]
Natychmiast rozpaliłem ogień.	I immediately built a fire.	[ 310 2168 1991 ]
Zjem tutaj.	I eat here.	[ 2902 78 ]
Zjem tutaj.	I'll eat here.	[ 2902 78 ]
Dobrze współżyję z wszystkimi.	I got along with everybody.	[ 80 2854 8 3019 ]
Paul właśnie dzwonił.	Paul telephoned just now.	[ 2944 145 1387 ]
Widzieliśmy trzy wojny.	We have seen three wars.	[ 2620 100 1767 ]
Skończyła osiemdziesiąt jeden lat.	She turned eighty-one.	[ 1672 2908 948 456 ]
Miłego dnia!	Have a nice day!	[ 2713 281 ]
Nie zabijaj.	Thou shalt not kill.	[ 5 2995 ]
Warto wypróbować ten plan.	The plan is well worth trying.	[ 3138 2425 23 414 ]
Zrobiłem szarlotkę dla ciebie.	I made an apple pie for you.	[ 3387 2515 31 75 ]
Oto nasza szkoła.	That is our school.	[ 1584 1108 1822 ]
Wolę grejpfruty niż pomarańcze.	I prefer grapefruits to oranges.	[ 902 2577 66 2474 ]
Mieliśmy wczoraj kilku gości.	We had some visitors yesterday.	[ 1690 60 437 3836 ]
Ten malarz to wieczne dziecko.	The artist is eternally a boy.	[ 23 3603 6 3604 293 ]
Zgubiłem to.	I lost it.	[ 3010 6 ]
Wyjeżdżam jutro do Kanady.	I'm leaving for Canada tomorrow.	[ 2574 106 7 3353 ]
Musimy oddać raporty w poniedziałek.	We have to turn in the reports on Monday.	[ 828 1081 1833 3 3808 ]
Musimy oddać raporty w poniedziałek.	We have to turn in reports on Monday.	[ 828 1081 1833 3 3808 ]
Ile komputerów miałeś dotąd?	How many computers have you had so far?	[ 433 3125 978 1519 ]
Jestem policjantem.	I'm a policeman.	[ 30 3007 ]
Łatwo zasypiam oglądając telewizję.	I fall asleep easily while watching television.	[ 223 2377 2378 1099 ]
Musieliśmy dopłacić dziesięć tysięcy jenów.	We had to pay ten thousand yen in addition.	[ 3288 1447 132 1026 1704 ]
Profesor rozwiązał problem jako ostatni.	The professor solved the problem at last.	[ 3104 3375 336 210 581 ]
Jutro będziemy mieli gości.	We will have guests tomorrow.	[ 106 1554 615 3836 ]
Jakimś cudem znalazłem jego dom.	Somehow or other I found his house.	[ 3065 3944 499 34 103 ]
Każdy chce usiąś obon niej.	Everybody wants to sit beside her.	[ 379 131 3488 3489 160 ]
To lekarstwo ma wstrętny smak.	This medicine tastes horrible.	[ 6 686 12 3672 3272 ]
Nie toleruję nieposłusznych dzieci.	I cannot tolerate naughty children.	[ 5 2965 2966 204 ]
Jakiego rodzaju muzyki słuchasz?	What kind of music do you like?	[ 940 962 3026 1213 ]
Mam tam przyjaciół którzy mi pomogą.	I have friends there who'll help me.	[ 43 40 3863 1787 9 3476 ]
On czyta nudną powieść	He read a boring novel.	[ 65 312 3322 2481 ]
Czemu powiedziałeś tak głupią rzecz?	Why did you say such a stupid thing?	[ 1060 1457 54 3538 1635 ]
Następnego dnia dawaliśmy koncert.	We were giving a concert the next day.	[ 1875 281 2566 1478 ]
Moje figi są mokre.	My knickers are wet.	[ 64 3166 17 2958 ]
Moje majtki są mokre.	My underpants are wet.	[ 64 3167 17 2958 ]
Ann kocha czekoladę.	Ann loves chocolate.	[ 1671 200 2785 ]
Meg przygotowuje śniadanie.	Meg is preparing breakfast.	[ 3485 748 424 ]
Wyjaśnił główny cel planu.	He explained the main purpose of the plan.	[ 2716 649 431 2424 ]
Zaproszono wszystkich z wyjątkiem mnie.	Everyone except me was invited.	[ 3384 395 8 3981 14 ]
Zapomniałem twojego numeru telefonu.	I forget your telephone number.	[ 2209 133 1238 2682 ]
Kilka gazet opublikowało tą historię.	Several newspapers published the story.	[ 123 3394 3395 149 775 ]
To sprawa życia i śmierci.	It is a matter of life or death.	[ 6 3552 406 27 3865 ]
Kiedy wrócisz?	When did you get back?	[ 155 2990 ]
Była ciemna noc.	It was a dark night.	[ 61 1869 2791 ]
Mieszkam niedaleko.	I live near here.	[ 2591 559 ]
Jego pilność przyniosła mu sukces.	His diligence earned him success.	[ 34 3372 3373 44 1059 ]
Jaki rodzaj filmów lubisz?	What kind of movies do you like?	[ 1925 871 3276 246 ]
Spałem tylko dwie godziny.	I only slept two hours.	[ 2322 52 156 3792 ]
W parku był tłum ludzi.	There were a crowd of people in the park.	[ 3 3820 28 3821 231 ]
Ból minął.	The pain has gone.	[ 2355 812 ]
Dziecko płakał całą noc.	The baby cried all night.	[ 293 2982 270 2791 ]
Jesteś psychicznie chory?	Are you mentally ill?	[ 49 2183 2526 ]
Nikt nie odebrał telefonu.	Nobody answered the telephone.	[ 1018 5 2670 2682 ]
Usiądź proszę.	Please sit down.	[ 2979 216 ]
Proszę, usiądź.	Please sit down.	[ 216 2979 ]
Przejrzał mój raport.	He looked over my report.	[ 3207 41 1546 ]
Jestem przygotowany na najgorsze.	I am prepared for the worst.	[ 30 2951 4 3418 ]
To bezowocne naciskać go dalej.	It's fruitless to press him further.	[ 6 3656 3657 21 704 ]
Powinieneś maksymalnie wykorzystywać szanse.	You should try to make the most of your opportunities.	[ 158 2513 2514 1251 ]
Zrobiłem lalkę dla Ann.	I made Ann a doll.	[ 3387 1354 31 1671 ]
To chore!	This is sick.	[ 6 3217 ]
Jestem na ósmym piętrze.	I'm on the eighth floor.	[ 30 4 3232 3190 ]
To super.	That's cool.	[ 6 3224 ]
Możesz odwołać?	Can you cancel?	[ 104 3129 ]
Musisz unikać objadania się.	You should avoid binge eating.	[ 171 3146 3147 2 ]
Nauczyciel jest surowy dla studentów.	The teacher is strict with his students.	[ 3871 1 3574 31 631 ]
Proszę, przestańcie się kłócić.	Please cease from quarreling.	[ 216 2540 2 3744 ]
Piłka nożna jest dobra.	Football is good.	[ 2967 2996 1 550 ]
Lubisz tańczyć?	Do you like to dance?	[ 246 3012 ]
Drugi semestr się skończył.	Second semester has ended.	[ 1786 2986 2 1756 ]
Pojechali do Chicago samochodem.	They went to Chicago by car.	[ 2790 7 2800 944 ]
Policja szuka przyczyny wypadku.	The police are looking into the cause of the accident.	[ 2073 891 2533 1061 ]
Wszyscy na zdjęciu uśmiechają się.	Everybody in the picture is smiling.	[ 201 4 3996 3997 2 ]
Jak wypadła rozmowa?	How did your interview go?	[ 20 1844 3061 ]
On śpiewa słabo.	He cannot sing well.	[ 65 1135 3726 ]
Najprawdopodobniej śpi.	He's probably sleeping.	[ 2622 674 ]
Dzięki za informację.	Thanks for the info.	[ 2497 11 2437 ]
Szanuję starszych ludzi.	I respect the elderly.	[ 2609 2108 231 ]
Kochaj mnie, kochaj mojego psa.	Love me, love my dog.	[ 3896 14 3896 81 362 ]
Jak minęła noc?	How was your night?	[ 20 2147 2791 ]
Potrzebujemy pańskiej pomocy.	Sir, we need your help please.	[ 3436 805 719 ]
Najgorsze już minęło.	The worst is over.	[ 3418 25 1520 ]
Słońce stopiło śnieg.	The sun melted the snow.	[ 1561 1969 1433 ]
To było świetne przyjęcie.	That was a great party.	[ 6 36 3196 3383 ]
To gliny.	They're cops.	[ 6 3332 ]
Jestem maniakiem telewizji.	I'm a TV addict.	[ 30 1120 3868 ]
Przepraszam, którędy do zoo?	Could you tell me the way to the zoo?	[ 1316 2685 7 2684 ]
Ona dorastała w Australii.	She grew up in Australia.	[ 125 3312 3 3253 ]
Zamknij bramę.	Lock the gate.	[ 491 2857 ]
Zamknij bramę.	Close the gate.	[ 491 2857 ]
Nie oglądam telewizji.	I don't watch TV.	[ 5 1151 3868 ]
Chłopcy, nie róbcie żadnego hałasu.	Boys, don't make any noise.	[ 1674 5 3361 445 2919 ]
On ma niewielu przyjaciół.	He has few friends.	[ 65 12 2786 3863 ]
Jego kłamstwo skomplikowało sprawę.	His lie complicated matters.	[ 34 2700 2701 1299 ]
Mogę zaproponować inny hotel?	May I recommend another hotel?	[ 24 2659 396 3661 ]
Ile wynosi ludność Japonii?	What is the population of Japan?	[ 433 2691 2692 942 ]
Lepiej poczekajmy jeszcze pół godziny.	I think we had better wait for another 30 minutes.	[ 557 3484 56 567 3792 ]
Niewiele brakowało!	It barely missed!	[ 492 2891 ]
Niewiele brakowało!	It was almost in!	[ 492 2891 ]
Na całej połaci śnieg.	The ground is covered with snow.	[ 4 2674 2675 1433 ]
Kupiła zabawkę dla dziecka.	She bought a toy for the kid.	[ 1780 3248 31 1730 ]
Kupiliśmy najtańszą herbatę.	We bought the cheapest tea.	[ 2558 2222 316 ]
Ten towar nie bywa wszędzie.	You can't find this article everywhere.	[ 23 3678 5 3679 1112 ]
Ona jet wiarygodnym człowiekiem.	She is a reliable person.	[ 125 2833 2834 1017 ]
Czy prenumerowałeś kiedyś angielską gazetę?	Have you ever subscribed to any English language newspaper?	[ 67 3772 87 3773 825 ]
Narzekał na hałas.	He complained about the noise.	[ 3721 4 1397 ]
Zróbmy dziesięciominutową przerwę.	Let's have a ten-minute break.	[ 2624 1113 1410 ]
Widzieliśmy gorsze rzeczy.	We've seen worse.	[ 2620 2206 338 ]
Zrobiłem swoje.	I've done my job.	[ 3387 57 ]
Ciepło to forma energii.	Heat is a form of energy.	[ 774 6 2696 3420 ]
Zrobię to.	I'll do it.	[ 3465 6 ]
Zrobię to.	I'll do that.	[ 3465 6 ]
Zdał wstępne egzaminy.	He passed the entrance examination.	[ 918 2007 2282 ]
Nareszcie piątek.	Finally, it's Friday.	[ 1887 1592 ]
Zrobię z ciebie mężczyznę.	I will make a man of you.	[ 3465 8 75 3412 ]
Zróbmy krótką przerwę.	Let's take a short pause.	[ 2624 1188 1410 ]
Dobrze wyczułeś tego nauczyciela.	You sure guessed the critical points of that teacher's exam.	[ 80 2892 19 3984 ]
Co dałeś Mike'owi na urodziny?	What did you give Mike on his birthday?	[ 22 3496 3497 4 1701 ]
Byłem u fryzjera ściąć włosy.	I had my hair cut at the barber's.	[ 124 257 3957 3958 426 ]
Przyjaciele pogardzają nim.	He is looked down on by his friends.	[ 3915 1141 194 ]
Droga skręca łagodnie na zachód.	The road curves gently towards the west.	[ 689 3566 3567 4 950 ]
Potrzebujemy Ciebie.	We need you.	[ 3436 75 ]
Potrzebujemy waszej pomocy.	We require your help.	[ 3436 1116 719 ]
Uczę biologii i francuskiego.	I teach biology and French.	[ 1555 1507 27 3942 ]
Dziękuję za uwagę.	Thank you for listening.	[ 1376 11 3892 ]
Nie lękam się śmierci.	I don't fear death.	[ 5 3183 2 3865 ]
Dałeś mi dobrą radę.	You've given me good advice.	[ 3496 9 238 3351 ]
Jest idealnie białe.	It's perfectly white.	[ 1 2112 3223 ]
Czekam na pociąg.	I'm waiting for the train.	[ 1694 4 3645 ]
Czekam na pociąg.	I'm waiting for a train.	[ 1694 4 3645 ]
Jestem tenisistą.	I am a tennis player.	[ 30 3536 ]
Jestem tenisistą.	I'm a tennis player.	[ 30 3536 ]
Moim ulubionym sportem jest piłka nożna.	My favourite sport is football.	[ 102 729 3904 1 2967 2996 ]
Boli głowa?	Does your head hurt?	[ 1351 2220 ]
Nie zmrużyłem oka w nocy.	I didn't sleep a wink last night.	[ 5 3955 3956 3 1042 ]
Widzę lwa.	I see a lion.	[ 1570 2015 ]
Boisz się śmierci.	You are afraid of death.	[ 1516 2 3865 ]
Boję się trzęsień ziemi.	I'm afraid of earthquakes.	[ 3283 2 2606 1290 ]
Ludność Japonii jest większa niż Kanady.	The population of Japan is larger than that of Canada.	[ 2692 942 1 3739 66 3353 ]
Chwilę temu piłem mleko.	I was drinking milk a moment ago.	[ 489 397 3186 3164 ]
Usiądź Kate.	Sit down, Kate.	[ 2979 643 ]
Usiądź Kate.	Kate, take a seat.	[ 2979 643 ]
Matka Cookie'go zmarła na raka.	Cookie's mother died of cancer.	[ 177 3730 3731 4 1416 ]
W końcu dogoniłem przyjaciół.	I finally caught up with my friends.	[ 3 320 3099 3863 ]
Przemowa bohatera poruszyła wszystkich.	The hero's speech touched the entire audience.	[ 3176 2429 1297 395 ]
W drodze słucham radia.	I listen to the radio while in transit.	[ 3 1533 3151 2615 ]
Posiadam gitarę elektryczną.	I own an electric guitar.	[ 810 2172 2495 ]
Nazywamy go Mike.	We call him Mike.	[ 3985 21 1476 ]
Uczę się francuskiego.	I'm studying French.	[ 1555 2 3942 ]
Helen wygrała nagrodę.	Helen has won the prize.	[ 2586 1168 1770 ]
Dzięki Bogu, jest piątek.	Thank God it's Friday!	[ 2497 3286 1 1592 ]
Dzięki Bogu, jest piątek.	Thank God it's Friday.	[ 2497 3286 1 1592 ]
Przyjaciele nazywają mnie Ken.	My friends call me Ken.	[ 3915 2867 14 592 ]
Ta firma wydała nowe czasopismo.	The company published a new magazine.	[ 161 1315 3602 478 3696 ]
Pies biegał.	A dog was running.	[ 215 3495 ]
To oczywiste.	It's abundantly clear.	[ 6 3709 ]
To oczywiste.	It's obvious.	[ 6 3709 ]
Uwielbia tygrysy.	He loves the tigers.	[ 277 3445 ]
Podziwiam twój talent.	I admire your talent.	[ 3760 39 1798 ]
Jest doskonałym tenisistą.	He's an excellent tennis player.	[ 1 2076 3536 ]
Idź i zawołaj gości!	Go and call the guests!	[ 611 27 3013 3836 ]
Próbuję spać.	I'm trying to sleep.	[ 3313 435 ]
Właśnie przekłuła sobie uszy.	She just got her ears pierced.	[ 145 3302 71 4000 ]
Mam kaszel.	I have a cough.	[ 43 3733 ]
Piłka odbiła się wysoko.	The ball bounced up high.	[ 2967 2346 2 2240 ]
Mogę zaciągnąć zasłony?	May I draw the curtains?	[ 24 1917 3741 ]
Lubię filmy.	I like movies.	[ 47 3751 ]
Rozwiązał trudny problem.	He solved the difficult problem.	[ 3375 2006 336 ]
Yumi zostanie nauczycielką.	Yumi will become a teacher.	[ 3980 486 1264 ]
Piłem kawę.	I drank the coffee.	[ 3186 637 ]
Chciałbym pojutrze zorganizować spotkanie.	I'd like to make an appointment for the day after tomorrow.	[ 469 2921 2922 1345 ]
Dziwne plotki chodzą.	Strange rumors are going around.	[ 620 2169 2955 ]
Kocham francuskie filmy.	I love French movies.	[ 820 1180 3751 ]
Nie oglądajmy telewizji.	Let's not watch TV.	[ 5 1889 3868 ]
Bob nawykł do ciężkiej pracy.	Bob is accustomed to hard work.	[ 2342 3500 7 3501 294 ]
Na którym piętrze mieszkasz?	What floor do you live on?	[ 4 3189 3190 1333 ]
To praca.	It's work.	[ 6 3858 ]
Lubię zimę.	I like winter.	[ 47 3833 ]
Potrzebujemy pieniędzy.	We need money.	[ 3436 448 ]
To mleko dziwnie smakuje.	This milk tastes odd.	[ 6 3164 3165 1460 ]
Moja ciotka wychowała pięcioro dzieci.	My aunt brought up five children.	[ 96 1670 3910 3911 204 ]
Zabił tamtego człowieka.	He killed that man.	[ 739 2094 3062 ]
Wczoraj słuchałem pięknej piosenki.	Yesterday I listened to a very beautiful song.	[ 60 3078 3079 1651 ]
Mieliśmy łagodną zimę tego roku.	We have a mild winter this year.	[ 1690 3832 3833 19 463 ]
Wreszcie rząd słucha ludzi.	At last, the Government are listening to the people.	[ 1529 3081 3082 231 ]
Która piłka jest biała?	Which ball is white?	[ 1155 2967 1 3826 ]
Miasto ma doskonałe obiekty sportowe.	One town has excellent sports facilities.	[ 342 12 3982 3983 1650 ]
Płakał i płakał.	He cried and cried.	[ 2982 27 2982 ]
Chyba wreszcie przyszło lato.	It seems like summer is finally here.	[ 252 1529 3137 3074 ]
Lubisz filmy?	Do you like movies?	[ 246 3751 ]
Nie oglądaj telewizji.	Do not watch television.	[ 5 2161 3868 ]
Zrobiłem kawę.	I made coffee.	[ 3387 637 ]
Powinniśmy znieść karę śmierci.	We should do away with the death penalty.	[ 1523 374 2288 3865 ]
Próbowałem zabić czas.	I was trying to kill time.	[ 3973 1836 248 ]
Yumi studiuje intensywnie angielski.	Yumi studies English hard.	[ 3980 834 2869 418 ]
Piorę moje skarpety.	I wash my socks.	[ 3116 64 2936 ]
Byłam bardzo zmęczona.	I was very tired.	[ 3204 15 2901 ]
Widzisz wejście do parku?	Do you see the entrance of the park?	[ 1179 3185 7 3820 ]
Musiałem przełożyć umówione spotkanie.	I had to postpone my appointment.	[ 1710 2571 2572 1345 ]
Uczył historii w szkole.	He taught history at school.	[ 1535 3305 3 3385 ]
Trudno przekonać Jacka.	It is hard to convince Jack.	[ 1664 1908 2617 ]
Straciła książkę.	She lost a book.	[ 3988 141 ]
Te piżamy dobrze wchłaniają pot.	These pajamas absorb sweat well.	[ 130 3705 80 3706 2703 ]
Zmęczona czytaniem zdrzemnęła się.	Tired of reading, she took a nap.	[ 2901 2686 2687 2 ]
Znajdę kogoś.	I'll find someone.	[ 3364 780 ]
Kiedy odwiedziłeś przyjaciół?	When did you visit your friends?	[ 155 2211 3863 ]
Straciła pieniądze, rodzinę i przyjaciół.	She lost her money, her family and her friends.	[ 3988 683 1821 27 3863 ]
Potrzebujemy deszczu.	We need the rain.	[ 3436 718 ]
Znam prawdę.	I know the truth.	[ 183 3990 ]
Meg czasami irytuje Kena.	Meg sometimes annoys Ken.	[ 3485 639 2330 1937 ]
Możemy wyleczyć pewne typy raka.	We can cure some types of cancer.	[ 242 3736 1372 3737 1416 ]
Święta wkrótce.	Christmas is soon.	[ 3882 348 ]
Umiem kochać.	I can love.	[ 436 3801 ]
Śniadanie gotowe.	Breakfast is ready.	[ 424 3831 ]
Śniadanie gotowe.	Breakfast is already prepared.	[ 424 3831 ]
Wkrótce poznamy prawdę.	We'll soon know the truth.	[ 348 2050 3990 ]
Połowa biura wzięła dzień wolnego.	Half the office took a day off.	[ 1791 1718 3998 363 2871 ]
Potrzebujemy Twojej rady.	We do need your advice.	[ 3436 236 2779 ]
Byłam w szkole.	I was at school.	[ 3204 3 3385 ]
Policja poszukiwała zaginionego dziecka.	The police searched for the missing child.	[ 2073 2531 2532 1730 ]
Przeczytaj sam dół strony.	Read the bottom of the page.	[ 3336 225 2348 2992 ]
Pojadę do Australii pociągiem.	I will go to Australia by train.	[ 3156 7 3253 2517 ]
Byłam nauczycielką.	I was a teacher.	[ 3204 1264 ]
Walczyli do ostatniego człowieka.	They fought to the last man.	[ 3090 7 2796 3062 ]
Opuścili go przyjaciele.	He was deserted by his friends.	[ 2802 21 3915 ]
Wyniki były następujące.	The results were as follows.	[ 3356 172 3228 ]
Jestem zmęczony oglądaniem telewizji.	I'm tired of watching television.	[ 30 2582 2583 3868 ]
Zgubiłem klucz.	I have lost the key.	[ 3010 1534 ]
Ceny rosną.	The price is going up.	[ 799 3745 ]
Po uroczystości odbyło się przyjęcie.	The ceremony was followed by the reception.	[ 16 3993 3994 2 3383 ]
Będziemy tańczyć.	We'll dance.	[ 1554 3012 ]
Powiedziałem usiądź.	I said sit down.	[ 1589 2979 ]
Kocham filmy.	I love movies.	[ 820 3751 ]
Rozmawialiśmy dalej.	We continued chatting.	[ 3875 704 ]
Rozmawialiśmy dalej.	We carried on talking.	[ 3875 704 ]
Na przyjęcie zaproszono starych przyjaciół.	Old friends were invited to the reception.	[ 4 3383 3384 896 3863 ]
Przeczytaj notkę na dole strony.	Read the note at the bottom of the page.	[ 3336 3617 4 1597 2992 ]
Potrzebujemy schronienia na noc.	We need a place to stay for the night.	[ 3436 3173 4 2791 ]
Zrobiłem kolację.	I made dinner.	[ 3387 1363 ]
Kupiła dziecku zabawkę.	She bought a toy for the kid.	[ 1780 2120 3248 ]
Byłem na dworcu odprowadzić kolegę.	I have been to the station to see my friend off.	[ 124 4 3978 3979 3967 ]
Widzieliśmy burzenie starych domów.	We saw some old houses pulled down.	[ 2620 2560 896 3713 ]
Nieźle zarabia.	He has a nice income.	[ 2911 2011 ]
Najgorsze minęło.	The worst is over.	[ 3418 1520 ]
Powiedział prawdę.	He told the truth.	[ 976 3990 ]
Czyj to podręcznik?	Whose textbook is this?	[ 3668 6 3850 ]
Słucham radia.	I'm listening to the radio.	[ 3151 2615 ]
Słucham radia.	I am listening to the radio.	[ 3151 2615 ]
Lód topnieje.	The ice is melting.	[ 2846 3025 ]
Czas wyjawia prawdę oraz kłamstwo.	Time reveals truth as well as falsehood.	[ 248 3989 3990 3991 2700 ]
Słucham muzyki.	I am listening to the music.	[ 3151 3026 ]
Piłem mleko.	I was drinking milk.	[ 3186 3164 ]
On mówi po francusku i to bardzo dobrze.	He speaks French and that very well.	[ 65 73 16 4000+ 27 6 15 80 ]
Masz na uwadze to, jak bardzo cię kocha?	Are you aware of how much she loves you?	[ 37 4 4000+ 6 20 15 26 200 ]
Jak się masz? Nie widziałem Cię od wieków!	How are you doing? I haven't seen you in ages!	[ 20 2 37 5 245 26 29 4000+ ]
Nie wiem czy mam się z tobą zgodzić.	Oh, I don't know if I agree with you.	[ 5 154 67 43 2 8 127 4000+ ]
Problem w tym, że to jest zbyt drogie.	The problem is in that it's too expensive.	[ 336 3 46 10 6 1 108 4000+ ]
Myślę, że ona nie wygląda jak jej matka.	I don't think that she looks like her mother.	[ 4000+ 10 125 5 142 20 33 177 ]
Nie jestem co do tego pewny. To zależy.	I'm not sure about that. It depends.	[ 5 30 22 7 19 4000+ 6 446 ]
Mój ojciec może pływać, ale moja matka nie.	My father can swim, but my mother can't.	[ 41 115 53 4000+ 159 96 177 5 ]
Tak, to jest bardzo ładne. Ile to kosztuje?	Yes, this one is very nice. How much does it cost?	[ 54 6 1 15 4000+ 433 6 168 ]
Co muszę teraz zrobić teraz, gdy jestem zarejestrowany?	What do I have to do now that I'm registered?	[ 22 162 63 169 63 222 30 4000+ ]
Mówi się, że pan Jones jest dobrym nauczycielem.	It is said that Mr Jones is a good teacher.	[ 73 2 10 55 4000+ 1 274 343 ]
Moja żona i dzieci są ode mnie zależne.	My wife and children depend on me.	[ 96 165 27 204 17 292 14 4000+ ]
Wiem tylko tyle, że on pochodzi z Chin.	All I know is that he came from China.	[ 154 52 400 10 65 224 8 4000+ ]
On jest w tym samym wieku co ja.	He's my age.	[ 65 1 3 46 580 4000+ 22 206 ]
Nie jestem jeszcze dobry w mówieniu po angielsku.	I'm not good at speaking English yet.	[ 5 30 56 119 3 4000+ 16 701 ]
Życie jest za krótkie, żeby uczyć się niemieckiego.	Life is too short to learn German.	[ 228 1 11 358 205 136 2 4000+ ]
Jego ojciec nie przyjdzie – jest bardzo zajęty.	His father won't come, he is very busy.	[ 34 115 5 361 4000+ 1 15 416 ]
On to zrobił i to w jej obecności.	He did it, and in her presence.	[ 65 6 831 27 6 3 33 4000+ ]
Ona jest znacznie mądrzejsza, niż na to wygląda.	She is much cleverer than she looks.	[ 125 1 687 4000+ 66 4 6 142 ]
Ona jest znacznie mądrzejsza, niż na to wygląda.	She's a lot smarter than she looks.	[ 125 1 687 4000+ 66 4 6 142 ]
Nie można zjeść ciastka i wciąż go mieć.	You cannot have your cake and eat it, too.	[ 5 296 311 4000+ 27 218 21 166 ]
Nie musisz na mnie czekać jeśli się spóźnię.	In case I am late, you don't have to wait for me.	[ 5 171 4 14 691 178 2 4000+ ]
Pan Williams przyszedł tu wczoraj, żeby cię zobaczyć.	A Mr Williams came to see you yesterday.	[ 55 4000+ 545 32 60 205 26 182 ]
Nie wiem czy potrafię to zrobić, ale spróbuję.	I don't know whether I can do it, but I'll try.	[ 5 154 67 565 6 169 159 4000+ ]
To dziecko nawet nie wie, jak się dodaje.	The child does not even know how to add.	[ 6 293 404 5 402 20 2 4000+ ]
Mam ochotę powiedzieć mu co o nim myślę.	I feel like telling him what I think of him.	[ 43 539 291 44 22 13 194 4000+ ]
Coś jest nie tak (złego) z moim samochodem.	There is something wrong with my car.	[ 38 1 5 54 4000+ 8 102 944 ]
Przykro mi to mówić, ale nie mogę przyjść.	I regret to say I cannot come.	[ 4000+ 9 6 110 159 5 24 868 ]
Nie wiem co powiedzieć, byś poczuł się lepiej.	I don't know what to say to make you feel better.	[ 5 154 22 291 197 4000+ 2 557 ]
Chcę podróżować latem, ale nie wiem gdzie jechać.	I want to travel this summer, but I don't know where to go.	[ 77 417 4000+ 159 5 154 84 377 ]
Chciałbym aby Beth była teraz tutaj ze mną.	I wish Beth were here with me now.	[ 469 288 4000+ 61 63 78 45 298 ]
Jeśli on zadzwoni, powiedz mu, że jestem zajęty.	If he should call, tell him I am busy.	[ 178 65 4000+ 587 44 10 30 416 ]
Są szanse na to, że mu się uda.	The chances are that he will succeed.	[ 17 1251 4 6 10 44 2 4000+ ]
To ten człowiek na którego czekałem przez tydzień.	That's the man I've been waiting for a week.	[ 6 23 237 4 506 4000+ 48 577 ]
Wolę zostać w domu niż iść na ryby.	I prefer staying home to going fishing.	[ 902 85 3 256 66 88 4 4000+ ]
